"Access denied.","Acesso negado."
"Action","Ação"
"Add Products","Adicionar produtos"
"Add Selected Product(s) to Shopping Cart","Adicionar produto(s) selecionado(s) ao carrinho de compras"
"An error has occurred. See error log for details.","Ocorreu um erro. Para maiores detalhes veja o relatório de erros."
"Apply","Solicitar"
"Apply Coupon Code","Solicitar código do cupom"
"Cancel","Cancelar"
"Choose some products to add to shopping cart.","Escolher alguns produtos para adicionar ao carrinho de compras."
"Coupon code ""%s"" is not valid","O código do cupom ""%s"" não é válido"
"Customer not found","Cliente não encontrado"
"Customers","Clientes"
"Discount","Desconto"
"Excl. Tax","Excluir taxas"
"Failed to add a product of order item","Falha ao adicionar o produto do item solicitado"
"Failed to reorder item","Falha ao solicitar novamente o item"
"ID","Identidade"
"Incl. Tax","Incluir taxas"
"Invalid block: %s.","Bloqueio inválido: %s."
"Last ordered items (%s)","Últimos itens solicitados (%s)"
"Manage Customers","Gerenciar clientes"
"Manage Shopping Cart","Gerenciar carrinho de compras"
"Move to Wishlist","Ir para lista de presentes"
"No ordered items","Nenhum item solicitado"
"Ordered item id is not received.","A identidade do item solicitado não foi recebida."
"Ordered item is not loaded.","O item solicitado não está carregado."
"Price","Preço"
"Product","Produto"
"Product Name","Nome do produto"
"Product name","Nome do produto"
"Products","Produtos"
"Products in the Comparison List (%s)","Produtos na Lista de comparação (%s)"
"Qty","Quant."
"Qty To Add","Quant. a adicionar"
"Quote item id is not received.","A identidade do item cotado não foi recebida."
"Quote item is not loaded.","O item cotado não foi carregado."
"Recently Compared Products (%s)","Produtos comparados recentemente (%s)"
"Recently Viewed Products (%s)","Produtos visualizados recentemente (%s)"
"Remove","Remover"
"Remove Coupon Code","Remover código do cupom"
"Row Subtotal","Coluna de subtotal"
"SKU","Unidade de Manutenção de Estoque"
"Shopping Cart","Carrinho de compras"
"Shopping Cart Items","Itens do carrinho de compras"
"Shopping Cart Management","Gerenciamento do carrinho de compras"
"Shopping Cart for %s in %s","Carrinho de compras para %s em %s"
"Shopping cart management disabled for this customer.","O gerenciamento do carrinho de compras não está ativado para este cliente."
"Store not found.","Loja não encontrada."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Total","Total"
"Total %d product(s)","Total %d produto(s)"
"Total incl. tax","Total incluindo taxas"
"Update Items and Qty's","Atualizar itens e quantidade"
"View Shopping Cart","Visualizar carrinho de compras"
"View and modify Shopping Cart","Visualizar e modificar carrinho de compras"
"Wishlist (%s)","Lista de presentes (%s)"
"Wishlist item id is not received.","Identidade do item da lista de presentes não foi recebida."
"Wishlist item is not loaded.","O item da lista de presentes não foi carregado."
