"Active","Ativo"
"Add Rule","Adicionar Regra"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"An error occurred while saving Product Rule.","Ocorreu um erro ao salvar a Regra do Produto."
"Applies To","Aplica-se a"
"Apply To","Aplicar a"
"Based on your selection, you may be interested in the following items:","Com base em sua seleção, você pode se interessar pelos seguintes itens:"
"Both Selected and Rule-Based","Selecionado(s) e Compatível(is) com Regra"
"Catalog","Catálogo"
"Check items to add to the cart or","Verificar itens a ser adicionados ao carrinho ou"
"Close","Fechar"
"Conditions Combination","Combinação de condições"
"Constant Value","Valor Constante"
"Cross-sells","Vendas Cruzadas"
"Date Ends","Data Final"
"Date Starts","Data Inicial"
"Delete Rule","Apagar Regra"
"Edit Rule '%s'","Editar regra ""s%"""
"End Date should be greater than Start Date","A Data Final deve ser maior que a Data Inicial"
"From Date","A Partir da Data"
"General Rule Information","Informações Gerais sobre Regras"
"ID","Identidade"
"Inactive","Inativo"
"Invalid product list type","Tipo de lista de produtos inválido"
"Manage Product Rules","Gerenciar Regras de Produto"
"Matched Product %s","Produto %s Correspondido"
"Maximum Number of Products in Cross-Sell Product List","Número Máximo de Produtos em Lista de Produtos de Venda Cruzada"
"Maximum Number of Products in Related Products List","Número Máximo de Produtos na Lista de Produtos Relacionados"
"Maximum Number of Products in Upsell Product List","Número Máximo de Produtos na Lista de Produtos de Vendas Adicionais"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Número máximo de produtos que podem ser correspondidos por esta Regra. Limitado a 20."
"New Rule","Nova Regra"
"Please choose a condition to add...","Por favor escolha uma condição para adicionar..."
"Please define product data object","Por favor defina os dados do produto objeto"
"Position Behavior","Comportamento de Posição"
"Price (percentage)","Preço (em porcentagem)"
"Priority","Prioridade"
"Product %s%s%s%s%s%s%s","Produto %s%s%s%s%s%s%s"
"Product Attributes","Atributos do produto"
"Product Match Conditions (leave blank for matching all products)","Condições de Correspondência de Produto (deixe em branco para corresponder todos os produtos)"
"Product Result Conditions (leave blank for matching all products)","Condições de Resultado de Produto (deixe em branco para corresponder todos os produtos)"
"Product Rule Information","Informação de Regra do Produto"
"Product Special","Produto Especial"
"Product list type identifier does not defined","Identificador do tipo de lista de produto não definido"
"Products to Display","Produtos a Exibir"
"Products to Match","Produtos a Corresponder"
"Related Products","Produtos Relacionados"
"Result Limit","Limite de Resultados"
"Rule Information","Informação da Regra"
"Rule Name","Nome da Regra"
"Rule-Based Only","Somente Compatível(is) com Regra"
"Rule-Based Product Relations","Relações de Produtos Compatíveis com Regra"
"Rule-based Positions","Posições Compatíveis com Regras"
"Rule-based Product Relations","Relações de Produtos Compatíveis com Regras"
"Rule-based Settings","Configurações Compatíveis com Regras"
"Save Rule","Salvar Regra"
"Save and Continue Edit","Salvar e continuar a editar"
"Selected Only","Somente Selecionados"
"Show Cross-Sell Products","Mostrar Produtos de Venda Cruzada"
"Show Related Products","Mostrar Produtos Relacionados"
"Show Upsell Products","Mostrar Produtos de Venda Extra"
"Status","Status"
"Target Product ","Produto-Alvo"
"The rule has been deleted.","A regra foi apagada."
"The rule has been saved.","A regra foi salva."
"This rule no longer exists","A regra não existe mais."
"To Date","Até a Data Atual"
"Unable to find a page to delete","Impossível encontrar página a ser apagada"
"Undefined Catalog Product List Type","Tipo de Lista de Produtos Indefinida em Catálogo"
"Up-sells","Vendas Extras"
"Use Config Settings","Utilizar opções de configuração"
"Wrong rule specified.","Especificação de regra incorreta."
"You may also be interested in the following product(s)","Você também pode se interessar no(s) seguinte(s) produto(s)"
"[GLOBAL]","[GLOBAL]"
"equal to","igual a"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"less","menos"
"more","mais"
"select all","marcar todos"
"the Child of the Matched Product Categories","a Criança das Categorias de Produto Combinado"
"the Same as Matched Product Categories","o Mesmo que Categorias de Produto Combinado"
"unselect all","desmarcar todos"
